03/15/2019,Sexta,6ª-feira da 1ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Ez 18,21-28  / Salmo - Sl 129, 1-2. 3-4. 5-6. 7-8 (R. 3)  / Evangelho - Mt 5,20-26"
03/16/2019,Sábado,Sábado da 1ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Dt 26, 16-19  / Salmo - Sl 118, 1-2. 4-5. 7-8 (R. 1b)  / Evangelho - Mt 5,43-48"
03/17/2019,Domingo,2º Domingo da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Gn 15,5-12 17-18  / Salmo - Sl 26,1.7-8.9abc.13.14 (R. 1a)  / 2ª Leitura - Fl 3,17-4,1  / 2ª Leitura - Fl 3,20 -4,1  / Evangelho - Lc 9,28b-36"
03/18/2019,Segunda,2ª-feira da 2ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Dn 9, 4b-10  / Salmo - Sl 78, 8. 9. 11. 13 (R. 102,10a)  / Evangelho - Lc 6,36-38"
03/19/2019,Terça,3ª-feira da 2ª Semana da Quaresma,"São José, esposo de Nossa Senhora",Branco,X,,,,,,,C,"Sl 83(84),5","Felizes os que habitam vossa casa, para sempre eles hão de vos louvar!","1ª Leitura - 2Sm 7,4-5a.12-14a.16  / Salmo - Sl 88(89),2-3.4-5.27 e 29 (R. 37)  / 2ª Leitura - Rm 4,13.16-18.22  / Evangelho - Mt 1,16.18-21.24a  / Evangelho - Lc 2,41-51a"
03/20/2019,Quarta,4ª-feira da 2ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Jr 18,18-20  / Salmo - Sl 30,5-6.14.15-16 (R. 17b)  / Evangelho - Mt 20,17-28"
03/21/2019,Quinta,5ª-feira da 2ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Jr 17,5-10  / Salmo - Sl 1,1-2.3.4.6 (R. Sl 39,5a)  / Evangelho - Lc 16,19-31"
03/22/2019,Sexta,6ª-feira da 2ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Gn 37, 3-4.12-13a.17b-28  / Salmo - Sl 104, 16-17.18-19.20-21 (R. 5a)  / Evangelho - Mt 21,33-43.45-46"
03/23/2019,Sábado,Sábado da 2ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Mq 7,14-15.18-20  / Salmo - Sl 102, 1-2. 3-4. 9-10. 11-12 (R. 8a)  / Evangelho - Lc 15,1-3.11-32"
03/24/2019,Domingo,3º Domingo da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Ex 3,1-8a.13-15  / Salmo - Sl 102,1-2.3-4.6-7.8-11 (R.8a)  / 2ª Leitura - 1Cor 10,1-6.10.12  / Evangelho - Lc 13,1-9"
